,Sample.ID,X.2,X.1,ID,Experimenter,Mic..Plate,Tube.number,Tube.weight,Nest.Site,Date.opened,Date.closed,Sex,Dev.stage,Pollen.Weight,Treatment.Group,Vol..Treatment,X,Plate,sample.date,larval.weight,days.to.maturity,dead.on.exp.day,death.date,died,status,X5.May,X7.May,X10.May,X12.May,X14.May,X17.May,X19.May,X20.May,X21.May,X22.May,X23.May,X24.May,X25.May,X26.May,X27.May,X28.May,X29.May,X30.May,X31.May,X1.Jun,X2.Jun,X3.Jun,X4.Jun,X5.Jun,X6.Jun,X7.Jun,X8.Jun,X9.Jun,X10.Jun,X11.Jun,X12.Jun,X13.Jun,X14.Jun,X15.Jun,X16.Jun,X17.Jun,NOTES,closed.coccoon..y.only.,Treatment,time,mic.plate,date.out.of.fridge,date.emerged,did.not.emerge,date.dead,adult.weight,sex,notes
1,BND2,69,12,NA,Bryan,1,1,NA,Mark,5/4/21,5/3/21,F,e,0.235,None,12.6,,1,5/27/21,0.1187,24,NA,NA,0,1,hl,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,24,1,2/21/22,4/17/22,,,0.027,F,
2,BND20,70,13,NA,Bryan,1,3,NA,Mark,5/4/21,5/3/21,M,e,0.157,Difen Low,8.4,,1,5/27/21,0.1422,24,NA,NA,0,1,hl,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,24,1,2/21/22,4/17/22,,,0.03,F,
3,BND23,73,16,NA,Bryan,1,4,NA,Mark,5/4/21,5/3/21,F,e,0.247,Difen Low,13.3,,1,5/26/21,0.1235,23,NA,NA,0,1,e,fl,fl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,23,1,2/21/22,4/17/22,,,0.035,F,
4,BND24,74,17,NA,Bryan,1,4,NA,Mark,5/4/21,5/3/21,F,e,0.225,Acetone,12.1,,1,5/28/21,0.113,25,NA,NA,0,1,e,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,25,1,2/21/22,4/17/22,,,0.033,F,
5,BND3,75,23,NA,Bryan,1,1,NA,Mark,5/4/21,5/3/21,F,e,0.23,Acetone,12.4,,1,5/27/21,0.1118,24,NA,NA,0,1,e,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,24,1,2/21/22,4/17/22,,,0.022,F,
6,BND44,98,39,NA,Bryan,2,7,NA,Nathalia,5/5/21,5/3/21,F,e,0.276,Acetone,14.8,,2,5/27/21,0.1362,24,NA,NA,0,1,hl,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,24,2,4/12/22,4/17/22,,,0.038,F,
7,BND51,126,47,NA,Bryan,4,8,NA,Nathalia,5/5/21,5/3/21,M,hl,0.163,Cap High,8.8,,4,5/27/21,0.0827,24,NA,NA,0,1,,fl,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,24,4,4/12/22,4/16/22,,,0.018,M,
8,BND54,129,50,NA,Bryan,4,8,NA,Nathalia,5/5/21,5/3/21,M,e,0.169,Cap High,9.1,,4,5/26/21,0.0909,23,NA,NA,0,1,,fl,dl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,23,4,4/12/22,4/15/22,,,0.018,M,
9,BND69,142,66,NA,Bryan,4,10,NA,Nathalia,5/5/21,5/3/21,M,e,0.157,Difen High,8.4,,4,5/26/21,0.086,23,NA,NA,0,1,,fl,dl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,early spin,,Difen High,23,4,4/12/22,4/14/22,,,0.02,M,
10,BND72,145,70,NA,Bryan,4,11,NA,Comstock,5/5/21,5/4/21,F,e,0.198,Difen Low,10.6,,4,5/26/21,0.091,22,NA,NA,0,1,,fl,fl,dl,dl,dl,dl,dl,dl,,,,,sp,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,closed cell/stabbed?,,Difen Low,22,4,4/12/22,4/21/22,,,0.023,F,
