sample id,mic plate,date out of fridge,date emerged,did not emerge,date dead,adult weight,sex,notes
BND2,1,2/21/22,4/17/22,,,0.027,F,
BND3,1,2/21/22,4/17/22,,,0.022,F,
BND8,1,2/21/22,4/17/22,,,0.012,M,
BND20,1,2/21/22,4/17/22,,,0.03,F,
BND23,1,2/21/22,4/17/22,,,0.035,F,
BND24,1,2/21/22,4/17/22,,,0.033,F,
BND44,2,4/12/22,4/17/22,,,0.038,F,
MTV1,3,4/12/22,4/16/22,,,0.014,M,
MTV5,3,4/12/22,4/14/22,,,0.014,M,
MTV6,3,4/12/22,4/14/22,,,0.016,M,
MTV7,3,4/12/22,4/14/22,,,0.017,M,
MTV8,3,4/12/22,4/17/22,,,0.023,F,
MTV9,3,4/12/22,4/17/22,,,0.027,F,
MTV10,3,4/12/22,4/17/22,,,0.024,F,
MTV17,3,4/12/22,4/19/22,,,0.033,F,
MTV18,3,4/12/22,4/18/22,,,0.029,F,
MTV22,3,4/12/22,4/14/22,,,0.018,M,
BND51,4,4/12/22,4/16/22,,,0.018,M,
BND54,4,4/12/22,4/15/22,,,0.018,M,
BND69,4,4/12/22,4/14/22,,,0.02,M,
BND72,4,4/12/22,4/21/22,,,0.023,F,
NF6,5,4/12/22,4/15/22,,,0.025,F,
NF7,5,4/12/22,4/17/22,,,0.027,F,
NF11,5,4/12/22,4/17/22,,,0.023,F,
NF16,5,4/12/22,4/14/22,,,0.016,M,
NF22,5,4/12/22,4/16/22,,,0.027,F,
NF24,5,4/12/22,4/14/22,,,0.017,M,
JK23,6,4/12/22,4/14/22,,,0.012,M,
BND77,7,4/12/22,4/14/22,,,0.031,F,
BND84,7,4/12/22,4/14/22,,,0.026,F,
BND85,7,4/12/22,,x,,,,
BND91,7,4/12/22,4/17/22,,,0.026,F,
RF2,8,4/12/22,4/17/22,,,0.029,F,
RF3,8,4/12/22,4/16/22,,,0.028,F,
RF4,8,4/12/22,4/16/22,,,0.03,F,
RF6,8,4/12/22,,x,,,,
RF11,8,4/12/22,4/17/22,,,0.026,F,
RF12,8,4/12/22,4/15/22,,,0.03,F,
RF14,8,4/12/22,4/14/22,,,0.016,M,
RF19,8,4/12/22,4/17/22,,,0.029,F,
MAB7,9,4/12/22,4/14/22,,,0.018,M,
MAB11,9,4/12/22,4/16/22,,,0.027,F,
MAB12,9,4/12/22,4/17/22,,,0.031,F,
MAB13,9,4/12/22,4/14/22,,,0.023,F,
MAB16,9,4/12/22,4/17/22,,,0.017,M,
MAB17,9,4/12/22,4/14/22,,,0.019,M,
MAB18,9,4/12/22,4/14/22,,,0.018,M,
MAB20,9,4/12/22,4/14/22,,,0.026,F,
MAB21,9,4/12/22,4/14/22,,,0.032,F,
RF26,10,4/12/22,4/16/22,,,0.026,F,
RF27,10,4/12/22,4/17/22,,,0.029,F,
RF29,10,4/12/22,4/16/22,,,0.025,F,
RF32,10,4/12/22,4/14/22,,,0.015,M,
RF37,10,4/12/22,4/14/22,,,0.029,F,
RF38,10,4/12/22,4/14/22,,,0.029,F,
RF39,10,4/12/22,4/17/22,,,0.026,F,
RF40,10,4/12/22,4/14/22,,,0.015,M,
RF42,10,4/12/22,4/17/22,,,0.017,M,
